"","Date","Year","Month","New_users_transactions","Returning_users_transactions","New_Users_Revenue","Returning_Users_Revenue"
"1",2014-11-01,2014,"November",0,0,0,0
"2",2014-11-02,2014,"November",0,0,0,0
"3",2014-11-03,2014,"November",0,0,0,0
"4",2014-11-04,2014,"November",0,0,0,0
"5",2014-11-05,2014,"November",0,0,0,0
"6",2014-11-06,2014,"November",0,0,0,0
"7",2014-11-07,2014,"November",0,0,0,0
"8",2014-11-08,2014,"November",0,0,0,0
"9",2014-11-09,2014,"November",0,0,0,0
"10",2014-11-10,2014,"November",0,0,0,0
"11",2014-11-11,2014,"November",0,0,0,0
"12",2014-11-12,2014,"November",0,0,0,0
"13",2014-11-13,2014,"November",0,0,0,0
"14",2014-11-14,2014,"November",0,0,0,0
"15",2014-11-15,2014,"November",0,0,0,0
"16",2014-11-16,2014,"November",0,0,0,0
"17",2014-11-17,2014,"November",0,0,0,13.25
"18",2014-11-18,2014,"November",0,0,0,0
"19",2014-11-19,2014,"November",0,0,0,0
"20",2014-11-20,2014,"November",0,0,0,0
"21",2014-11-21,2014,"November",0,0,0,0
"22",2014-11-22,2014,"November",0,0,0,0
"23",2014-11-23,2014,"November",0,0,0,0
"24",2014-11-24,2014,"November",0,0,0,0
"25",2014-11-25,2014,"November",0,0,0,0
"26",2014-11-26,2014,"November",0,0,0,0
"27",2014-11-27,2014,"November",0,0,0,0
"28",2014-11-28,2014,"November",0,0,0,0
"29",2014-11-29,2014,"November",0,0,0,0
"30",2014-11-30,2014,"November",0,0,0,0
"31",2014-12-01,2014,"December",0,0,0,0
"32",2014-12-02,2014,"December",0,0,0,0
"33",2014-12-03,2014,"December",0,0,0,0
"34",2014-12-04,2014,"December",0,0,0,0
"35",2014-12-05,2014,"December",0,0,0,0
"36",2014-12-06,2014,"December",0,0,0,0
"37",2014-12-07,2014,"December",0,0,0,0
"38",2014-12-08,2014,"December",0,0,0,0
"39",2014-12-09,2014,"December",0,0,0,0
"40",2014-12-10,2014,"December",0,0,0,0
"41",2014-12-11,2014,"December",0,0,0,0
"42",2014-12-12,2014,"December",0,0,0,0
"43",2014-12-13,2014,"December",0,0,0,0
"44",2014-12-14,2014,"December",0,0,0,0
"45",2014-12-15,2014,"December",0,0,0,0
"46",2014-12-16,2014,"December",0,0,0,0
"47",2014-12-17,2014,"December",0,0,0,0
"48",2014-12-18,2014,"December",0,0,0,0
"49",2014-12-19,2014,"December",0,0,0,0
"50",2014-12-20,2014,"December",0,0,0,0
"51",2014-12-21,2014,"December",0,0,0,0
"52",2014-12-22,2014,"December",0,0,0,0
"53",2014-12-23,2014,"December",0,0,0,0
"54",2014-12-24,2014,"December",0,0,0,0
"55",2014-12-25,2014,"December",0,0,0,0
"56",2014-12-26,2014,"December",0,0,0,0
"57",2014-12-27,2014,"December",0,0,0,0
"58",2014-12-28,2014,"December",0,0,0,0
"59",2014-12-29,2014,"December",0,0,0,0
"60",2014-12-30,2014,"December",0,0,0,0
"61",2014-12-31,2014,"December",0,0,0,0
"62",2015-01-01,2015,"January",0,0,0,0
"63",2015-01-02,2015,"January",0,0,0,0
"64",2015-01-03,2015,"January",0,0,0,0
"65",2015-01-04,2015,"January",0,0,0,0
"66",2015-01-05,2015,"January",0,0,0,0
"67",2015-01-06,2015,"January",0,0,0,0
"68",2015-01-07,2015,"January",0,0,0,0
"69",2015-01-08,2015,"January",0,0,0,0
"70",2015-01-09,2015,"January",0,0,0,0
"71",2015-01-10,2015,"January",0,0,0,0
"72",2015-01-11,2015,"January",0,0,0,0
"73",2015-01-12,2015,"January",0,0,0,0
"74",2015-01-13,2015,"January",0,0,0,0
"75",2015-01-14,2015,"January",0,0,0,0
"76",2015-01-15,2015,"January",0,0,0,0
"77",2015-01-16,2015,"January",0,0,0,0
"78",2015-01-17,2015,"January",0,0,0,0
"79",2015-01-18,2015,"January",0,0,0,0
"80",2015-01-19,2015,"January",0,0,0,0
"81",2015-01-20,2015,"January",0,0,0,0
"82",2015-01-21,2015,"January",0,0,0,0
"83",2015-01-22,2015,"January",0,0,0,0
"84",2015-01-23,2015,"January",0,0,0,0
"85",2015-01-24,2015,"January",0,0,0,0
"86",2015-01-25,2015,"January",0,0,0,0
"87",2015-01-26,2015,"January",0,0,0,0
"88",2015-01-27,2015,"January",0,0,0,0
"89",2015-01-28,2015,"January",0,0,0,0
"90",2015-01-29,2015,"January",0,0,0,0
"91",2015-01-30,2015,"January",0,0,0,0
"92",2015-01-31,2015,"January",0,0,0,0
"93",2015-02-01,2015,"February",0,0,0,0
"94",2015-02-02,2015,"February",0,0,0,0
"95",2015-02-03,2015,"February",0,0,0,0
"96",2015-02-04,2015,"February",0,0,0,0
"97",2015-02-05,2015,"February",0,0,0,0
"98",2015-02-06,2015,"February",0,0,0,0
"99",2015-02-07,2015,"February",0,0,0,0
"100",2015-02-08,2015,"February",0,0,0,0
"101",2015-02-09,2015,"February",0,0,0,0
"102",2015-02-10,2015,"February",0,0,0,0
"103",2015-02-11,2015,"February",0,0,0,0
"104",2015-02-12,2015,"February",0,0,0,0
"105",2015-02-13,2015,"February",0,0,0,0
"106",2015-02-14,2015,"February",0,0,0,0
"107",2015-02-15,2015,"February",0,0,0,0
"108",2015-02-16,2015,"February",0,0,0,0
"109",2015-02-17,2015,"February",0,0,0,0
"110",2015-02-18,2015,"February",0,0,0,0
"111",2015-02-19,2015,"February",0,0,0,0
"112",2015-02-20,2015,"February",0,0,0,0
"113",2015-02-21,2015,"February",0,0,0,0
"114",2015-02-22,2015,"February",0,0,0,0
"115",2015-02-23,2015,"February",0,0,0,0
"116",2015-02-24,2015,"February",0,0,0,0
"117",2015-02-25,2015,"February",0,0,0,0
"118",2015-02-26,2015,"February",0,0,0,0
"119",2015-02-27,2015,"February",0,0,0,0
"120",2015-02-28,2015,"February",0,0,0,0
"121",2015-03-01,2015,"March",0,0,0,0
"122",2015-03-02,2015,"March",0,0,0,0
"123",2015-03-03,2015,"March",0,0,0,0
"124",2015-03-04,2015,"March",0,0,0,0
"125",2015-03-05,2015,"March",0,0,0,0
"126",2015-03-06,2015,"March",0,0,0,0
"127",2015-03-07,2015,"March",0,0,0,0
"128",2015-03-08,2015,"March",0,0,0,0
"129",2015-03-09,2015,"March",0,0,0,0
"130",2015-03-10,2015,"March",0,0,0,0
"131",2015-03-11,2015,"March",0,0,0,0
"132",2015-03-12,2015,"March",0,0,0,0
"133",2015-03-13,2015,"March",0,0,0,0
"134",2015-03-14,2015,"March",0,0,0,0
"135",2015-03-15,2015,"March",0,0,0,0
"136",2015-03-16,2015,"March",0,0,0,0
"137",2015-03-17,2015,"March",0,0,0,0
"138",2015-03-18,2015,"March",0,0,0,0
"139",2015-03-19,2015,"March",0,0,0,0
"140",2015-03-20,2015,"March",0,0,0,0
"141",2015-03-21,2015,"March",0,0,0,0
"142",2015-03-22,2015,"March",0,0,0,0
"143",2015-03-23,2015,"March",0,0,0,0
"144",2015-03-24,2015,"March",0,0,0,0
"145",2015-03-25,2015,"March",0,0,0,0
"146",2015-03-26,2015,"March",0,0,0,0
"147",2015-03-27,2015,"March",0,0,0,0
"148",2015-03-28,2015,"March",0,0,0,0
"149",2015-03-29,2015,"March",0,0,0,0
"150",2015-03-30,2015,"March",0,0,0,0
"151",2015-03-31,2015,"March",0,0,0,0
